time,ctrlMel.statePos_x,ctrlMel.statePos_y,ctrlMel.statePos_z,ctrlMel.setpointPos_x,ctrlMel.setpointPos_y,ctrlMel.setpointPos_z,ctrlMel.log_data,
14.983,0.235296,-0.146213,0.0340061,0,0,0,0,
14.993,0.235305,-0.146314,0.0340056,0,0,0,0,
15.003,0.235309,-0.146364,0.034005,0,0,0,0,
15.013,0.23531,-0.146387,0.0340046,0,0,0,0,
15.023,0.235235,-0.146306,0.0340035,0,0,0,0,
15.033,0.235275,-0.146361,0.0340045,0,0,0,0,
15.043,0.235294,-0.146388,0.0340055,0,0,0,0,
15.063,0.235577,-0.146762,0.0340121,0,0,0,0,
15.073,0.235299,-0.146395,0.0340061,0,0,0,0,
15.083,0.235307,-0.146404,0.0340065,0,0,0,0,
15.103,0.235587,-0.146236,0.0340139,0,0,0,0,
15.113,0.235622,-0.146011,0.0340147,0,0,0,0,
15.123,0.235311,-0.145952,0.0340067,0,0,0,0,
15.133,0.235313,-0.14618,0.0340057,0,0,0,0,
15.153,0.23548,-0.146297,0.0340029,0,0,0,0,
15.163,0.235563,-0.146039,0.034003,0,0,0,0,
15.173,0.235295,-0.146215,0.0340022,0,0,0,0,
15.183,0.235304,-0.146312,0.0340033,0,0,0,0,
15.203,0.235564,-0.146716,0.0340101,0,0,0,0,
15.213,0.235607,-0.146782,0.0340107,0,0,0,0,
15.223,0.235307,-0.146139,0.0340053,0,0,0,0,
15.233,0.235313,-0.146273,0.0340057,0,0,0,0,
15.243,0.235488,-0.146049,0.0340093,0,0,0,0,
15.253,0.235576,-0.14645,0.0340107,0,0,0,0,
15.263,0.235619,-0.146651,0.0340119,0,0,0,0,
15.273,0.235312,-0.145596,0.0340073,0,0,0,0,
15.283,0.235316,-0.146002,0.034009,0,0,0,0,
15.293,0.235491,-0.146419,0.0340156,0,0,0,0,
15.303,0.235576,-0.146106,0.0340194,0,0,0,0,
15.313,0.235619,-0.14647,0.0340227,0,0,0,0,
15.323,0.23564,-0.146119,0.0340257,0,0,0,0,
15.333,0.235318,-0.146233,0.0340136,0,0,0,0,
15.343,0.235494,-0.146536,0.0340223,0,0,0,0,
15.353,0.235582,-0.14669,0.0340262,0,0,0,0,
15.363,0.235624,-0.146765,0.034028,0,0,0,0,
15.373,0.235315,-0.146392,0.0340141,0,0,0,0,
15.383,0.235319,-0.146399,0.0340141,0,0,0,0,
15.393,0.235495,-0.146622,0.0340218,0,0,0,0,
15.403,0.235582,-0.146734,0.0340268,0,0,0,0,
15.413,0.235624,-0.146788,0.0340294,0,0,0,0,
15.423,0.235643,-0.146812,0.03403,0,0,0,0,
15.433,0.235317,-0.146144,0.0340148,0,0,0,0,
15.443,0.235318,-0.146273,0.0340148,0,0,0,0,
15.453,0.235491,-0.146553,0.034022,0,0,0,0,
15.463,0.235577,-0.146695,0.0340254,0,0,0,0,
15.473,0.235618,-0.146235,0.0340281,0,0,0,0,
15.483,0.235312,-0.146261,0.0340146,0,0,0,0,
15.493,0.235492,-0.146549,0.0340228,0,0,0,0,
15.503,0.235581,-0.146692,0.0340241,0,0,0,0,
15.513,0.235623,-0.146763,0.0340226,0,0,0,0,
15.523,0.235641,-0.146266,0.0340221,0,0,0,0,
15.533,0.235316,-0.146008,0.0340112,0,0,0,0,
15.543,0.235489,-0.146412,0.0340184,0,0,0,0,
15.553,0.235575,-0.146617,0.0340221,0,0,0,0,
